C++ Opt  | Size 15 | 0.143 seconds | 1646.86 | [ 9 8 11 4 10 7 1 3 0 2 13 5 12 6 14 ]
C++ Opt  | Size 16 | 0.076 seconds | 1705.58 | [ 13 5 12 6 14 9 8 11 4 10 2 1 7 3 0 15 ]
C++ Opt  | Size 17 | 0.476 seconds | 1818.18 | [ 14 9 8 11 4 10 2 1 7 3 0 15 13 5 12 6 16 ]
C++ Opt  | Size 18 | 0.338 seconds | 1828.53 | [ 14 16 6 12 5 13 15 0 3 7 1 2 10 4 11 8 9 17 ]
C++ Opt  | Size 19 | 0.196 seconds | 1829.87 | [ 3 7 1 2 10 4 11 8 9 17 14 16 6 12 5 13 15 0 18 ]
C++ Opt  | Size 20 | 0.544 seconds | 1861.09 | [ 6 12 5 13 15 0 18 3 7 1 2 10 4 11 8 9 17 14 16 19 ]
C++ Opt  | Size 21 | 0.651 seconds | 1865.81 | [ 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 18 3 7 1 2 20 ]
C++ Opt  | Size 22 | 1.132 seconds | 1891.83 | [ 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 5 13 15 0 21 ]
C++ Opt  | Size 23 | 3.950 seconds | 1897.69 | [ 5 13 15 0 21 18 3 7 1 2 20 10 4 11 8 9 17 14 16 19 6 12 22 ]
C++ Opt  | Size 24 | 6.975 seconds | 1946.16 | [ 8 11 4 10 20 2 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 ]
C++ Opt  | Size 25 | 11.264 seconds | 1964.82 | [ 1 7 3 18 21 0 15 13 5 22 12 6 19 16 14 17 9 23 8 11 4 10 20 2 24 ]
C++ Opt  | Size 26 | 195.779 seconds | 2029.42 | [ 13 15 0 21 18 3 7 1 24 2 20 10 4 11 8 23 9 17 14 16 19 6 12 22 5 25 ]
C++ Opt  | Size 27 | 84.479 seconds | 2083.86 | [ 4 10 20 2 24 1 7 3 18 21 0 15 13 25 5 22 12 6 19 16 14 17 9 23 11 8 26 ]
C++ Opt  | Size 28 | 109.462 seconds | 2118.28 | [ 21 3 18 0 24 2 1 7 20 10 4 26 8 11 23 9 17 14 16 19 6 12 22 5 25 13 15 27 ]
C++ Opt  | Size 29 | 95.866 seconds | 2122.19 | [ 13 25 5 22 12 6 19 16 14 17 9 23 11 8 26 4 10 20 7 1 2 24 0 18 3 21 27 15 28 ]
C++ Opt  | Size 30 | 471.633 seconds | 2216.76 | [ 27 21 3 18 0 24 2 1 7 20 10 4 26 8 11 23 9 17 14 16 19 6 12 22 5 25 13 28 15 29 ]
