C++ parallel 16 | Size 12 | 0.021 seconds | 1529.62 | [ 8 9 6 5 2 0 3 1 7 10 4 11 ]
C++ parallel 32 | Size 12 | 0.020 seconds | 1529.62 | [ 8 9 6 5 2 0 3 1 7 10 4 11 ]
C++ parallel 1 | Size 13 | 0.023 seconds | 1531.18 | [ 6 9 8 11 4 10 7 1 3 0 2 5 12 ]
C++ parallel 2 | Size 13 | 0.013 seconds | 1531.18 | [ 6 9 8 11 4 10 7 1 3 0 2 5 12 ]
C++ parallel 4 | Size 13 | 0.015 seconds | 1531.18 | [ 6 9 8 11 4 10 7 1 3 0 2 5 12 ]
C++ parallel 8 | Size 13 | 0.015 seconds | 1531.18 | [ 6 9 8 11 4 10 7 1 3 0 2 5 12 ]
C++ parallel 16 | Size 13 | 0.016 seconds | 1531.18 | [ 6 9 8 11 4 10 7 1 3 0 2 5 12 ]
C++ parallel 32 | Size 13 | 0.014 seconds | 1531.18 | [ 6 9 8 11 4 10 7 1 3 0 2 5 12 ]
C++ parallel 1 | Size 14 | 0.023 seconds | 1534.50 | [ 5 12 6 9 8 11 4 10 7 1 3 0 2 13 ]
C++ parallel 2 | Size 14 | 0.012 seconds | 1534.50 | [ 5 12 6 9 8 11 4 10 7 1 3 0 2 13 ]
C++ parallel 4 | Size 14 | 0.013 seconds | 1534.50 | [ 5 12 6 9 8 11 4 10 7 1 3 0 2 13 ]
C++ parallel 8 | Size 14 | 0.013 seconds | 1534.50 | [ 5 12 6 9 8 11 4 10 7 1 3 0 2 13 ]
C++ parallel 16 | Size 14 | 0.014 seconds | 1534.50 | [ 5 12 6 9 8 11 4 10 7 1 3 0 2 13 ]
C++ parallel 32 | Size 14 | 0.015 seconds | 1534.50 | [ 5 12 6 9 8 11 4 10 7 1 3 0 2 13 ]
C++ parallel 1 | Size 15 | 0.101 seconds | 1646.86 | [ 9 8 11 4 10 7 1 3 0 2 13 5 12 6 14 ]
